run_id,benchmark,subject,question_id,prediction,answer,correct
AB-01-C4-R3-S100,mmlu,abstract_algebra,0,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,1,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,2,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,3,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,4,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,5,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,6,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,7,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,8,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,9,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,10,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,11,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,12,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,13,D,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,14,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,15,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,16,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,17,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,18,B,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,19,B,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,20,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,21,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,22,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,23,B,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,24,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,25,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,26,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,27,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,28,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,29,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,30,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,31,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,32,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,33,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,34,B,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,35,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,36,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,37,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,38,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,39,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,40,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,41,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,42,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,43,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,44,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,45,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,46,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,47,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,48,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,49,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,50,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,51,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,52,B,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,53,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,54,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,55,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,56,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,57,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,58,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,59,B,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,60,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,61,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,62,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,63,B,B,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,64,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,65,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,66,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,67,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,68,D,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,69,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,70,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,71,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,72,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,73,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,74,B,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,75,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,76,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,77,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,78,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,79,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,80,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,81,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,82,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,83,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,84,B,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,85,B,C,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,86,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,87,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,88,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,89,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,90,B,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,91,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,92,B,B,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,93,C,A,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,94,C,D,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,95,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,96,C,B,0
AB-01-C4-R3-S100,mmlu,abstract_algebra,97,C,C,1
AB-01-C4-R3-S100,mmlu,abstract_algebra,98,C,C,1
