run_id,model_mode,benchmark,prompt_version,row_type,subject,question_id,prediction,answer,correct,correct_count,total_count,accuracy
7B-AB-00-MMLU,adapter,mmlu,subject_v1,overall,ALL,,,,,6765,14042,0.4817689787779519
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,abstract_algebra,,,,,32,100,0.32
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,anatomy,,,,,62,135,0.45925925925925926
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,astronomy,,,,,67,152,0.4407894736842105
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,business_ethics,,,,,51,100,0.51
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,clinical_knowledge,,,,,148,265,0.5584905660377358
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_biology,,,,,80,144,0.5555555555555556
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_chemistry,,,,,32,100,0.32
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_computer_science,,,,,42,100,0.42
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_mathematics,,,,,38,100,0.38
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_medicine,,,,,87,173,0.5028901734104047
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,college_physics,,,,,21,102,0.20588235294117646
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,computer_security,,,,,66,100,0.66
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,conceptual_physics,,,,,93,235,0.39574468085106385
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,econometrics,,,,,27,114,0.23684210526315788
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,electrical_engineering,,,,,60,145,0.41379310344827586
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,elementary_mathematics,,,,,122,378,0.32275132275132273
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,formal_logic,,,,,36,126,0.2857142857142857
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,global_facts,,,,,33,100,0.33
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_biology,,,,,163,310,0.5258064516129032
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_chemistry,,,,,64,203,0.31527093596059114
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_computer_science,,,,,47,100,0.47
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_european_history,,,,,115,165,0.696969696969697
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_geography,,,,,121,198,0.6111111111111112
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_government_and_politics,,,,,135,193,0.6994818652849741
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_macroeconomics,,,,,169,390,0.43333333333333335
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_mathematics,,,,,78,270,0.28888888888888886
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_microeconomics,,,,,106,238,0.44537815126050423
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_physics,,,,,35,151,0.23178807947019867
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_psychology,,,,,369,545,0.6770642201834862
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_statistics,,,,,82,216,0.37962962962962965
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_us_history,,,,,129,204,0.6323529411764706
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,high_school_world_history,,,,,168,237,0.7088607594936709
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,human_aging,,,,,130,223,0.5829596412556054
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,human_sexuality,,,,,68,131,0.5190839694656488
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,international_law,,,,,70,121,0.5785123966942148
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,jurisprudence,,,,,62,108,0.5740740740740741
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,logical_fallacies,,,,,101,163,0.6196319018404908
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,machine_learning,,,,,43,112,0.38392857142857145
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,management,,,,,71,103,0.6893203883495146
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,marketing,,,,,175,234,0.7478632478632479
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,medical_genetics,,,,,55,100,0.55
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,miscellaneous,,,,,534,783,0.6819923371647509
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,moral_disputes,,,,,192,346,0.5549132947976878
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,moral_scenarios,,,,,225,895,0.25139664804469275
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,nutrition,,,,,160,306,0.5228758169934641
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,philosophy,,,,,163,311,0.5241157556270096
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,prehistory,,,,,167,324,0.5154320987654321
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,professional_accounting,,,,,93,282,0.32978723404255317
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,professional_law,,,,,609,1534,0.3970013037809648
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,professional_medicine,,,,,117,272,0.43014705882352944
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,professional_psychology,,,,,276,612,0.45098039215686275
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,public_relations,,,,,63,110,0.5727272727272728
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,security_studies,,,,,129,245,0.5265306122448979
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,sociology,,,,,135,201,0.6716417910447762
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,us_foreign_policy,,,,,72,100,0.72
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,virology,,,,,66,166,0.39759036144578314
7B-AB-00-MMLU,adapter,mmlu,subject_v1,subject,world_religions,,,,,111,171,0.6491228070175439
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,0,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,1,B,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,2,C,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,3,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,4,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,5,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,6,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,7,A,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,8,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,9,C,C,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,10,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,11,C,C,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,12,B,A,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,13,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,14,B,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,15,A,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,16,D,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,17,D,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,18,B,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,19,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,20,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,21,B,A,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,22,A,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,23,D,D,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,24,A,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,25,C,C,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,26,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,27,D,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,28,A,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,29,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,30,A,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,31,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,32,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,33,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,34,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,35,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,36,D,D,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,37,D,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,38,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,39,C,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,40,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,41,B,A,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,42,A,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,43,B,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,44,B,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,45,C,C,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,46,C,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,47,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,48,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,49,C,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,50,B,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,51,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,52,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,53,A,C,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,54,B,B,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,55,A,A,1,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,56,A,D,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,57,A,B,0,,,
7B-AB-00-MMLU,adapter,mmlu,subject_v1,question,abstract_algebra,58,B,A,0,,,
